SigmaT_ratio;CRLB_Spatial_Mean;CRLB_Spatial_RMSE;RMSE_Spatial;PRMSE_Spatial;MAE_Spatial;MLE_Spatial;AMSE_Spatial;CRLB_Temporal_Mean;CRLB_Temporal_RMSE;RMSE_Temporal;PRMSE_Temporal;MAE_Temporal;MLE_Temporal;AMSE_Temporal;Relative_Error;Correct_Association(%)
1.00000;0.00004;0.00004;5496.81977;1833.54171;5374.73850;5374.73850;0.10079;0.00000;0.00000;0.00002;0.00001;0.00002;0.00002;0.00000;14445.13874;100.00000
10.00000;0.00428;0.00428;948.39626;31.63509;810.90208;810.90208;0.00300;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;846.81973;100.00000
20.00000;0.01713;0.01713;1865.30498;31.10994;1761.79934;1761.79934;0.01161;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;3629.11756;100.00000
30.00000;0.03854;0.03854;4550.46164;50.59569;4533.85913;4533.85913;0.06907;0.00000;0.00000;0.00002;0.00000;0.00002;0.00002;0.00000;1881.11302;100.00000
40.00000;0.06852;0.06852;3884.56420;32.39378;3861.40245;3861.40245;0.05033;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;868.80670;100.00000
50.00000;0.10707;0.10707;3321.64419;22.15962;2872.80372;1667.42884;0.03680;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;583.75040;100.00000
60.00000;0.15418;0.15418;5287.84269;29.39724;5031.36239;-1626.85981;0.09327;0.00000;0.00000;0.00002;0.00000;0.00002;-0.00001;0.00000;465.90471;100.00000
70.00000;0.20985;0.20985;3398.75779;16.19577;2482.60267;2482.60267;0.03853;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;392.37074;100.00000
80.00000;0.27410;0.27410;1809.31122;7.54402;1282.87266;-1282.87266;0.01092;0.00000;0.00000;0.00001;0.00000;0.00000;-0.00000;0.00000;343.39243;100.00000
90.00000;0.34690;0.34690;4815.56146;17.84776;4538.48508;4538.48508;0.07735;0.00000;0.00000;0.00002;0.00000;0.00002;0.00002;0.00000;311.24423;100.00000
100.00000;0.42827;0.42827;381.58127;1.27282;380.30268;31.21108;0.00049;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;283.16949;100.00000
200.00000;1.71310;1.71310;3098.94175;5.16848;3020.34722;3020.34722;0.03203;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;176.05425;100.00000
300.00000;3.85447;3.85447;8766.49955;9.74730;7022.74415;7022.74415;0.25635;0.00000;0.00000;0.00003;0.00000;0.00002;0.00002;0.00000;140.22288;100.00000
400.00000;6.85240;6.85240;4548.63297;3.79315;4455.15047;4455.15047;0.06901;0.00000;0.00000;0.00002;0.00000;0.00001;0.00001;0.00000;121.00793;100.00000
500.00000;10.70687;10.70687;2594.58496;1.73092;2588.19694;181.95533;0.02246;0.00000;0.00000;0.00001;0.00000;0.00001;0.00000;0.00000;108.57613;100.00000
600.00000;15.41790;15.41790;1720.51946;0.95651;1372.00401;-1038.16771;0.00987;0.00000;0.00000;0.00001;0.00000;0.00000;-0.00000;0.00000;99.71819;100.00000
700.00000;20.98547;20.98547;2717.69788;1.29504;2683.43723;430.17023;0.02464;0.00000;0.00000;0.00001;0.00000;0.00001;0.00000;0.00000;92.95028;100.00000
800.00000;27.40960;27.40960;2414.55509;1.00676;1834.07951;1570.42308;0.01945;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;87.56078;100.00000
900.00000;34.69027;34.69027;3100.28040;1.14905;3029.03961;-660.80076;0.03206;0.00000;0.00000;0.00001;0.00000;0.00001;-0.00000;0.00000;83.14702;100.00000
1000.00000;42.82749;42.82749;1342.37334;0.44777;1270.21825;434.17941;0.00601;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;79.42462;100.00000
