SigmaT_ratio;CRLB_Spatial_Mean;CRLB_Spatial_RMSE;RMSE_Spatial;PRMSE_Spatial;MAE_Spatial;MLE_Spatial;AMSE_Spatial;CRLB_Temporal_Mean;CRLB_Temporal_RMSE;RMSE_Temporal;PRMSE_Temporal;MAE_Temporal;MLE_Temporal;AMSE_Temporal;Relative_Error;Correct_Association(%)
1.00000;12839.35970;113.31090;215.02672;71.72519;195.45651;195.45651;46236.49061;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;210.01140;100.00000
10.00000;1283935.96962;1133.10898;238.66255;7.96093;221.74173;221.74173;56959.81105;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;634.76935;100.00000
20.00000;5135743.87850;2266.21797;295.71300;4.93196;248.47612;248.47612;87446.17710;0.00000;0.00001;0.00000;0.00000;0.00000;0.00000;0.00000;3497.85694;100.00000
30.00000;11555423.72662;3399.32695;256.07785;2.84728;226.74418;226.74418;65575.86588;0.00000;0.00001;0.00000;0.00000;0.00000;0.00000;0.00000;1798.95149;100.00000
40.00000;20542975.51398;4532.43594;249.88073;2.08378;229.15887;229.15887;62440.38107;0.00000;0.00002;0.00000;0.00000;0.00000;0.00000;0.00000;834.63704;100.00000
50.00000;32098399.24060;5665.54492;206.12412;1.37511;178.47639;178.47639;42487.15426;0.00000;0.00002;0.00000;0.00000;0.00000;0.00000;0.00000;579.84027;100.00000
60.00000;46221694.90646;6798.65390;211.38393;1.17517;185.95137;185.95137;44683.16783;0.00000;0.00002;0.00000;0.00000;0.00000;0.00000;0.00000;459.85482;100.00000
70.00000;62912862.51158;7931.76289;188.18964;0.89676;176.07994;176.07994;35415.34150;0.00000;0.00003;0.00000;0.00000;0.00000;0.00000;0.00000;389.12640;100.00000
80.00000;82171902.05594;9064.87187;252.07023;1.05102;220.02411;220.02411;63539.40248;0.00000;0.00003;0.00000;0.00000;0.00000;0.00000;0.00000;342.01870;100.00000
90.00000;103998813.53955;10197.98086;196.79258;0.72937;177.93847;177.93847;38727.31882;0.00000;0.00003;0.00000;0.00000;0.00000;0.00000;0.00000;308.13056;100.00000
100.00000;128393596.96240;11331.08984;270.26018;0.90149;239.33492;239.33492;73040.56455;0.00000;0.00004;0.00000;0.00000;0.00000;0.00000;0.00000;282.42507;100.00000
200.00000;513574387.84961;22662.17968;214.36343;0.35752;188.72138;188.72138;45951.68099;0.00000;0.00008;0.00000;0.00000;0.00000;0.00000;0.00000;175.80055;100.00000
300.00000;1155542372.66162;33993.26952;303.26006;0.33719;243.74933;243.74933;91966.66487;0.00000;0.00011;0.00000;0.00000;0.00000;0.00000;0.00000;140.12786;100.00000
400.00000;2054297551.39844;45324.35936;423.28085;0.35298;306.13964;306.13964;179166.67590;0.00000;0.00015;0.00000;0.00000;0.00000;0.00000;0.00000;120.96432;100.00000
500.00000;3209839924.06006;56655.44920;255.59107;0.17051;218.62502;218.62502;65326.79563;0.00000;0.00019;0.00000;0.00000;0.00000;0.00000;0.00000;108.56734;100.00000
600.00000;4622169490.64649;67986.53904;346.52526;0.19265;257.57052;257.57052;120079.75609;0.00000;0.00023;0.00000;0.00000;0.00000;0.00000;0.00000;99.69824;100.00000
700.00000;6291286251.15772;79317.62888;317.61934;0.15135;262.38718;262.38718;100882.04355;0.00000;0.00026;0.00000;0.00000;0.00000;0.00000;0.00000;92.93860;100.00000
800.00000;8217190205.59376;90648.71872;323.00150;0.13468;272.26641;272.26641;104329.97208;0.00000;0.00030;0.00000;0.00000;0.00000;0.00000;0.00000;87.55801;100.00000
900.00000;10399881353.95461;101979.80856;378.67341;0.14035;314.31795;314.31795;143393.55377;0.00000;0.00034;0.00000;0.00000;0.00000;0.00000;0.00000;83.13742;100.00000
1000.00000;12839359696.24025;113310.89840;256.15969;0.08545;236.84803;236.84803;65617.78542;0.00000;0.00038;0.00000;0.00000;0.00000;0.00000;0.00000;79.41709;100.00000
