SigmaT_ratio;CRLB_Spatial_Mean;CRLB_Spatial_RMSE;RMSE_Spatial;PRMSE_Spatial;MAE_Spatial;MLE_Spatial;AMSE_Spatial;CRLB_Temporal_Mean;CRLB_Temporal_RMSE;RMSE_Temporal;PRMSE_Temporal;MAE_Temporal;MLE_Temporal;AMSE_Temporal;Relative_Error;Correct_Association(%)
1.00000;0.00004;0.00004;931.94590;310.86369;680.70709;680.70709;0.00290;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1875.55982;100.00000
10.00000;0.00428;0.00428;902.33027;30.09850;902.17735;902.17735;0.00272;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;700.32523;100.00000
20.00000;0.01713;0.01713;1548.02742;25.81832;1488.94992;423.57650;0.00799;0.00000;0.00000;0.00001;0.00000;0.00000;0.00000;0.00000;3589.19131;100.00000
30.00000;0.03854;0.03854;1270.24269;14.12358;1270.13455;1270.13455;0.00538;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1812.98683;100.00000
40.00000;0.06852;0.06852;1790.61687;14.93214;1561.28434;876.75538;0.01070;0.00000;0.00000;0.00001;0.00000;0.00001;0.00000;0.00000;840.42837;100.00000
50.00000;0.10707;0.10707;1748.68883;11.66600;1426.25619;1426.25619;0.01020;0.00000;0.00000;0.00001;0.00000;0.00000;0.00000;0.00000;582.07561;100.00000
60.00000;0.15418;0.15418;1906.10125;10.59678;1904.30436;1904.30436;0.01212;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;461.17643;100.00000
70.00000;0.20985;0.20985;1868.22958;8.90249;1728.06943;1728.06943;0.01164;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;390.91642;100.00000
80.00000;0.27410;0.27410;1868.22958;7.78968;1728.06943;1728.06943;0.01164;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;343.24198;100.00000
90.00000;0.34690;0.34690;1049.21566;3.88867;1048.76736;30.66821;0.00367;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;308.77747;100.00000
100.00000;0.42827;0.42827;1868.22958;6.23174;1728.06943;1728.06943;0.01164;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;283.08906;100.00000
200.00000;1.71310;1.71310;1868.22958;3.11587;1728.06943;1728.06943;0.01164;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;175.91331;100.00000
300.00000;3.85447;3.85447;931.61048;1.03584;671.86365;645.36604;0.00289;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;140.14876;100.00000
400.00000;6.85240;6.85240;1724.45926;1.43804;1248.52327;1189.51645;0.00992;0.00000;0.00000;0.00001;0.00000;0.00000;0.00000;0.00000;120.97535;100.00000
500.00000;10.70687;10.70687;1868.22958;1.24635;1728.06943;1728.06943;0.01164;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;108.58001;100.00000
600.00000;15.41790;15.41790;1447.57570;0.80477;1442.17352;1442.17352;0.00699;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;99.70276;100.00000
700.00000;20.98547;20.98547;1868.22958;0.89025;1728.06943;1728.06943;0.01164;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;92.94443;100.00000
800.00000;27.40960;27.40960;1868.22958;0.77897;1728.06943;1728.06943;0.01164;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;87.56230;100.00000
900.00000;34.69027;34.69027;1868.22958;0.69242;1728.06943;1728.06943;0.01164;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;83.14070;100.00000
1000.00000;42.82749;42.82749;1868.22958;0.62317;1728.06943;1728.06943;0.01164;0.00000;0.00000;0.00001;0.00000;0.00001;0.00001;0.00000;79.41968;100.00000
